symbol,timestamp,open,high,low,close,volume
GME,2021-02-01T17:00:00Z,225.46,231,206,207.55,626967
GME,2021-02-01T18:00:00Z,207.96,208.79,173,178,1577886
GME,2021-02-01T19:00:00Z,178,190,177,187.75,495863
GME,2021-02-01T20:00:00Z,186.65,198.99,186.65,189.52,398808
GME,2021-02-02T05:00:00Z,175.3,178.31,160,171,246548
GME,2021-02-02T06:00:00Z,171.7,176.39,170,174.5,79576
GME,2021-02-02T07:00:00Z,174.01,175.21,153.6,158.49,179575
GME,2021-02-02T08:00:00Z,158.24,162.65,137.01,138.7,1521962
GME,2021-02-02T09:00:00Z,139,161,126,127.5,1956246
GME,2021-02-02T10:00:00Z,127.5,162,101.3,115,13083953
GME,2021-02-02T11:00:00Z,114.8882,125,74.2201,91.5,19988224
GME,2021-02-02T12:00:00Z,91.0701,154.3999,90,114.85,15756996
GME,2021-02-02T13:00:00Z,110.05,127.98,105.17,117.95,7738481
GME,2021-02-02T14:00:00Z,118.2996,118.75,101.01,104.3724,4486108
GME,2021-02-02T15:00:00Z,103.6001,110.5499,91,99.9,6042536
GME,2021-02-02T16:00:00Z,99.8561,101.9599,88,90.47,5582379
GME,2021-02-02T17:00:00Z,90.76,93.89,85.33,88.78,843580
GME,2021-02-02T18:00:00Z,88.82,96,86.01,92,476352
